author_id,author_names,affiliations
M0I2zjsAAAAJ,Heonseok Ha,Seoul National University
j8qTMtoAAAAJ,Seongsik Park,Korea Institute of Science and Technology
ovimNFsAAAAJ,Seijoon Kim,Samsung Advanced Institute of Technology
OdLQTz4AAAAJ,Byunghan Lee,Seoul National University of Science and Technology
Bphl_fIAAAAJ,Sungroh Yoon,"Professor, Electrical and Computer Engineering & Artificial Intelligence, Seoul National University"
bkEwkiMAAAAJ,Ho Bae,Ewha Womans University
CJ8-pGIAAAAJ,Uiwon Hwang,"Assistant Professor, Computer Science and Engineering, Ewha Womans University"
GPi5hw4AAAAJ,Jonghyun Lee,"KRAFTON AI | PhD, SNU"
OCzDMR4AAAAJ,Hyemi Jang,Seoul National University
PTo1stcAAAAJ,Junsung Park,Seoul National University
QHlTiUwAAAAJ,Sangha Park,Seoul National University
nS24h74AAAAJ,Saehyung Lee,Microsoft
2dZmIYoAAAAJ,Hyun-Soo Choi,Seoul National University of Science and Technology
_Lv-s58AAAAJ,"Hyungyu, Lee",Seoul National University
gvq-Ni4AAAAJ,Jaehee Jang,Seoul National University
nShf6cgAAAAJ,Eunji Kim,Seoul National Univ.
xMRzdH0AAAAJ,Siwon Kim,Amazon AGI
6qTcgH0AAAAJ,Jungbeom Lee,Korea University
LeF2vTkAAAAJ,Jaihyun Lew,Seoul National University
9EIn52wAAAAJ,Jooyoung Choi,Seoul National University
molKYzwAAAAJ,Jihwan Bang,"AI/ML Researcher, Qualcomm AI Research"
jcP7m1QAAAAJ,Dongyoon Han,NAVER AI Lab
Ijzuc-8AAAAJ,Hwanjun Song,"Assistant Professor, KAIST"
LZP5k2cAAAAJ,Jisoo Mok,Daegu Gyeongbuk Institute of Science and Technology
dWKk68wAAAAJ,Seonwoo Min,"Applied Scientist, Amazon"
OdLQTz4AAAAJ,Byunghan Lee,Seoul National University of Science and Technology
nShf6cgAAAAJ,Eunji Kim,Seoul National Univ.
9EIn52wAAAAJ,Jooyoung Choi,Seoul National University
CJ8-pGIAAAAJ,Uiwon Hwang,"Assistant Professor, Computer Science and Engineering, Ewha Womans University"
wleS-UQAAAAJ,Dahuin Jung,"Assistant Professor, Computer Science and Engineering, Soongsil University"
6qTcgH0AAAAJ,Jungbeom Lee,Korea University
2dZmIYoAAAAJ,Hyun-Soo Choi,Seoul National University of Science and Technology
6qGppvkAAAAJ,Sungwon Kim,NVIDIA
j8qTMtoAAAAJ,Seongsik Park,Korea Institute of Science and Technology
xMRzdH0AAAAJ,Siwon Kim,Amazon AGI
jzzqxVIAAAAJ,Jihun Yi,Samsung Electronics
M8RX0MEAAAAJ,Chaehun Shin,Seoul National University
t8dVNNsAAAAJ,Byunggook Na,Samsung Advanced Institute of Technology
bkEwkiMAAAAJ,Ho Bae,Ewha Womans University
ovimNFsAAAAJ,Seijoon Kim,Samsung Advanced Institute of Technology
iowjmTwAAAAJ,Seunghyun Park,Soongsil University
4ojbJpoAAAAJ,Heeseung Kim,Seoul National University
8P9jE1cAAAAJ,Hanjoo Kim,Gauss Labs Inc.
